_ID;housing;marital;campaign;education;poutcome;balance;contact;y;duration;default;day;age;loan;previous;job;month;pdays
1975;yes;divorced;1;secondary;unknown;1111;cellular;no;50;no;17;50;no;0;admin.;apr;-1
1976;no;single;17;secondary;unknown;113;cellular;no;39;no;22;27;no;0;blue-collar;jul;-1
1977;no;divorced;2;tertiary;unknown;-612;cellular;no;131;no;26;55;no;0;management;aug;-1
1978;yes;married;4;unknown;other;310;telephone;no;526;no;28;54;no;3;blue-collar;jan;258
1979;yes;single;3;secondary;unknown;-186;unknown;no;172;no;26;31;no;0;unemployed;may;-1
1980;no;married;1;unknown;success;2038;cellular;no;405;no;8;56;no;1;admin.;feb;305
1981;no;married;3;tertiary;unknown;833;cellular;no;77;no;31;51;no;0;self-employed;jul;-1
1982;yes;married;2;primary;unknown;625;unknown;no;158;no;19;61;no;0;blue-collar;may;-1
1983;yes;single;2;secondary;failure;105;cellular;no;146;no;7;34;no;3;technician;may;171
1984;no;married;1;primary;unknown;551;unknown;no;27;no;29;56;no;0;blue-collar;may;-1
1985;no;single;1;unknown;unknown;145;cellular;no;105;no;14;29;no;0;student;aug;-1
1986;yes;single;4;tertiary;unknown;618;unknown;no;119;no;3;34;no;0;management;jun;-1
1987;yes;single;1;secondary;unknown;1063;cellular;no;327;no;16;35;yes;0;services;apr;-1
1988;no;divorced;2;secondary;unknown;985;cellular;no;150;no;18;56;yes;0;admin.;aug;-1
1989;yes;married;3;secondary;failure;2926;cellular;no;482;no;19;45;yes;2;blue-collar;nov;120
1990;yes;single;2;secondary;unknown;-449;unknown;no;81;no;28;31;no;0;admin.;may;-1
1992;yes;married;3;secondary;unknown;0;cellular;no;674;no;17;43;no;0;admin.;jul;-1
1993;yes;married;1;unknown;unknown;419;cellular;no;347;no;10;40;no;0;management;jul;-1
1995;no;single;2;secondary;unknown;-23;cellular;no;48;no;20;38;no;0;admin.;nov;-1
1996;yes;divorced;1;tertiary;unknown;1573;cellular;no;279;no;17;58;yes;0;management;nov;-1
1997;yes;single;2;secondary;unknown;77;unknown;no;236;no;16;24;no;0;blue-collar;may;-1
1998;yes;married;2;secondary;unknown;1378;cellular;no;91;no;18;53;no;0;services;jul;-1
1999;yes;married;8;secondary;unknown;-73;cellular;no;15;no;18;36;yes;0;blue-collar;may;-1
2000;yes;married;1;primary;failure;60;cellular;no;161;no;6;28;no;1;blue-collar;may;337
2001;yes;married;19;primary;unknown;137;unknown;no;187;no;16;45;yes;0;blue-collar;may;-1
2002;yes;single;1;tertiary;failure;1583;cellular;no;100;no;19;32;no;1;admin.;nov;182
2003;yes;married;4;secondary;unknown;-121;cellular;no;214;no;8;46;yes;0;admin.;jul;-1
2004;yes;single;1;secondary;failure;1065;cellular;no;406;no;17;28;yes;1;blue-collar;apr;317
2005;yes;married;1;secondary;failure;-13;cellular;no;361;no;13;51;no;1;unemployed;may;364
2006;no;married;3;primary;unknown;1869;unknown;no;30;no;17;51;no;0;blue-collar;jun;-1
2007;yes;single;2;secondary;unknown;4787;unknown;no;99;no;4;30;no;0;technician;jun;-1
2008;yes;married;2;secondary;unknown;-183;unknown;no;202;yes;14;39;no;0;technician;may;-1
2009;yes;married;2;primary;unknown;702;unknown;no;318;no;26;28;no;0;blue-collar;jun;-1
2010;no;single;12;tertiary;unknown;1494;cellular;no;275;no;13;31;no;0;management;aug;-1
2011;yes;married;4;primary;unknown;0;unknown;no;59;no;12;31;yes;0;blue-collar;may;-1
2012;no;married;4;tertiary;unknown;46;cellular;no;70;no;29;38;no;0;management;aug;-1
2013;yes;single;1;secondary;failure;609;cellular;no;1126;no;14;31;no;1;blue-collar;apr;335
2016;yes;married;2;secondary;unknown;7876;cellular;no;209;no;11;43;no;0;technician;aug;-1
2018;no;divorced;2;tertiary;unknown;7010;cellular;no;275;no;11;54;no;0;management;mar;-1
2019;yes;married;2;primary;failure;42;cellular;no;51;no;12;51;no;3;blue-collar;may;342
2020;no;married;1;secondary;unknown;285;unknown;no;267;no;3;33;yes;0;blue-collar;jul;-1
2021;no;married;1;tertiary;unknown;0;unknown;no;95;no;20;41;no;0;technician;jun;-1
2022;no;single;2;tertiary;unknown;3170;cellular;no;246;no;28;33;no;0;management;oct;-1
2023;no;married;1;secondary;unknown;8;cellular;no;46;no;7;48;yes;0;admin.;jul;-1
2024;yes;divorced;3;tertiary;unknown;216;cellular;no;144;no;8;42;no;0;self-employed;may;-1
2025;no;single;2;tertiary;unknown;2975;cellular;no;249;no;8;35;no;0;management;aug;-1
2026;yes;married;1;secondary;unknown;894;unknown;no;328;no;28;25;no;0;admin.;may;-1
2027;yes;single;1;primary;unknown;490;unknown;no;17;no;25;38;yes;0;blue-collar;aug;-1
2028;yes;married;3;secondary;unknown;245;unknown;no;126;no;14;45;no;0;entrepreneur;may;-1
2029;yes;divorced;8;tertiary;unknown;0;cellular;no;52;no;31;59;no;0;management;jul;-1
2030;no;married;1;unknown;unknown;150;unknown;no;52;no;9;47;no;0;management;jun;-1
2031;yes;married;5;tertiary;unknown;4;cellular;no;285;no;16;33;no;0;management;jul;-1
2034;yes;married;5;secondary;unknown;473;cellular;no;216;no;7;42;no;0;technician;jul;-1
2035;no;divorced;7;tertiary;unknown;0;cellular;no;84;no;28;51;no;0;technician;aug;-1
2036;yes;married;3;tertiary;unknown;-192;cellular;no;138;no;6;45;no;0;management;may;-1
2038;yes;single;1;secondary;unknown;5137;cellular;no;123;no;6;33;no;0;blue-collar;may;-1
2039;no;married;4;tertiary;unknown;13044;cellular;no;36;no;18;43;no;0;management;aug;-1
2040;no;married;3;secondary;unknown;1053;unknown;no;405;no;16;37;no;0;blue-collar;jun;-1
2041;no;married;1;primary;unknown;154;cellular;no;103;no;15;73;no;0;retired;oct;-1
2042;yes;married;1;secondary;unknown;625;unknown;no;175;no;30;43;no;0;blue-collar;sep;-1
2043;no;married;3;primary;unknown;255;cellular;no;374;no;10;52;yes;0;unemployed;jul;-1
2044;yes;married;4;tertiary;unknown;529;unknown;no;129;no;4;44;no;0;management;jun;-1
2045;no;married;3;tertiary;unknown;318;telephone;no;246;no;9;56;yes;0;management;jul;-1
2046;yes;single;2;secondary;unknown;1903;unknown;no;107;no;29;21;no;0;services;may;-1
2047;no;married;1;tertiary;unknown;1937;unknown;no;385;no;19;43;no;0;unknown;jun;-1
2048;no;married;3;primary;unknown;3859;cellular;no;104;no;20;54;yes;0;management;nov;-1
2050;yes;married;2;primary;failure;230;cellular;no;198;no;6;52;no;2;blue-collar;may;170
2052;no;married;7;secondary;unknown;263;cellular;no;143;no;18;53;yes;0;admin.;jul;-1
2053;yes;single;1;secondary;unknown;-46;unknown;no;23;no;19;24;no;0;technician;may;-1
2054;no;married;2;secondary;unknown;0;unknown;no;104;no;30;57;yes;0;retired;jun;-1
2056;yes;married;1;secondary;unknown;1469;cellular;no;364;no;17;57;no;0;technician;nov;-1
2057;no;married;6;secondary;unknown;18;cellular;no;363;no;25;51;yes;0;technician;jul;-1
2058;yes;divorced;1;tertiary;unknown;201;cellular;no;248;no;24;50;no;0;management;jul;-1
2059;yes;married;2;secondary;unknown;1412;unknown;no;157;no;27;34;yes;0;blue-collar;may;-1
2060;yes;married;2;primary;unknown;-93;unknown;no;402;no;26;43;no;0;blue-collar;may;-1
2061;yes;married;5;secondary;unknown;-331;unknown;no;203;no;23;31;no;0;services;may;-1
2062;yes;married;1;unknown;failure;486;cellular;no;422;no;6;29;no;1;blue-collar;may;363
2063;yes;married;1;primary;unknown;694;cellular;no;44;no;21;39;no;0;blue-collar;nov;-1
2064;yes;single;4;tertiary;unknown;2806;unknown;no;358;no;30;36;no;0;management;may;-1
2065;no;single;2;tertiary;unknown;0;cellular;no;39;no;6;38;no;0;unemployed;feb;-1
2066;yes;divorced;1;tertiary;unknown;2959;telephone;no;325;no;18;56;no;0;management;may;-1
2067;yes;divorced;3;primary;other;22;cellular;no;238;no;18;41;no;4;housemaid;nov;126
2069;yes;single;1;tertiary;failure;35;cellular;no;156;no;17;38;no;3;management;apr;273
2070;no;married;1;secondary;success;8304;telephone;no;681;no;6;80;no;11;retired;apr;118
2071;yes;married;2;secondary;unknown;4760;cellular;no;187;no;20;37;no;0;services;nov;-1
2072;yes;single;10;tertiary;unknown;-1313;cellular;no;104;no;15;44;yes;0;management;may;-1
2074;no;married;2;secondary;unknown;230;cellular;no;112;no;13;53;yes;0;technician;aug;-1
2075;no;married;1;tertiary;failure;473;cellular;no;112;no;7;69;no;1;retired;jul;78
2076;yes;married;3;secondary;unknown;1427;unknown;no;32;no;14;46;no;0;technician;may;-1
2078;no;single;1;secondary;unknown;1086;cellular;no;410;no;20;31;no;0;self-employed;nov;-1
2079;yes;divorced;1;tertiary;unknown;4335;cellular;no;640;no;20;38;no;0;management;nov;-1
2080;no;divorced;1;secondary;unknown;44;unknown;no;118;no;9;34;no;0;services;jun;-1
2081;no;married;2;unknown;unknown;286;cellular;no;166;no;30;48;no;0;unknown;jul;-1
2082;no;divorced;1;primary;unknown;216;cellular;no;173;no;2;46;no;0;blue-collar;feb;-1
2083;yes;married;24;secondary;unknown;214;unknown;no;21;no;28;42;no;0;admin.;may;-1
2084;yes;married;7;secondary;unknown;343;unknown;no;89;no;14;41;no;0;blue-collar;may;-1
2085;yes;married;3;secondary;unknown;-77;cellular;no;151;no;28;33;no;0;blue-collar;jul;-1
2086;no;married;4;primary;unknown;1046;unknown;no;112;no;19;39;no;0;blue-collar;jun;-1
2087;no;single;5;secondary;unknown;1566;cellular;no;164;no;30;27;no;0;student;jan;-1
2088;no;single;2;tertiary;other;592;telephone;no;145;no;29;26;no;1;management;jan;164
2090;yes;married;1;secondary;unknown;0;unknown;no;105;no;26;48;no;0;blue-collar;may;-1
2091;no;married;1;secondary;unknown;-22;cellular;no;85;no;9;54;yes;0;services;jul;-1
2092;no;married;3;secondary;unknown;0;cellular;no;439;no;18;51;no;0;services;jul;-1
2093;no;married;1;secondary;unknown;72;unknown;no;278;no;29;47;no;0;technician;may;-1
2094;no;married;4;secondary;unknown;100;cellular;no;205;no;13;53;no;0;technician;aug;-1
2095;yes;married;1;primary;unknown;319;cellular;no;221;no;16;35;no;0;blue-collar;jul;-1
2096;yes;married;3;tertiary;other;9339;telephone;no;52;no;18;58;no;3;management;nov;172
2097;yes;divorced;3;tertiary;unknown;50;unknown;no;84;no;12;52;no;0;management;jun;-1
2098;yes;married;3;secondary;unknown;32;cellular;no;476;yes;15;57;no;0;retired;may;-1
2099;no;married;1;tertiary;unknown;6922;cellular;no;371;no;20;52;no;0;management;nov;-1
2100;yes;single;3;tertiary;unknown;633;cellular;no;128;no;17;35;no;0;management;apr;-1
2101;yes;married;2;secondary;unknown;4265;unknown;no;220;no;13;48;no;0;technician;may;-1
2102;no;married;14;tertiary;unknown;2262;telephone;no;44;no;14;46;no;0;entrepreneur;jul;-1
2103;yes;married;1;secondary;success;1970;unknown;no;30;no;8;39;no;2;services;jun;404
2104;no;divorced;1;tertiary;failure;1513;cellular;no;330;no;7;38;no;1;self-employed;may;342
2105;yes;married;1;secondary;unknown;4659;unknown;no;28;no;30;34;no;0;entrepreneur;aug;-1
2106;no;married;1;primary;unknown;668;cellular;no;908;no;12;47;no;0;entrepreneur;may;-1
2107;no;divorced;1;tertiary;unknown;649;cellular;no;177;no;16;35;no;0;management;apr;-1
2108;yes;divorced;4;primary;unknown;452;unknown;no;113;no;9;46;no;0;blue-collar;may;-1
2109;yes;single;8;secondary;unknown;-145;telephone;no;289;no;15;27;no;0;admin.;may;-1
2110;yes;married;1;secondary;unknown;-498;cellular;no;357;no;21;31;no;0;blue-collar;jul;-1
2111;no;single;16;tertiary;unknown;0;cellular;no;38;no;28;31;no;0;management;aug;-1
2112;yes;married;4;secondary;unknown;22;cellular;no;414;no;7;46;no;0;admin.;aug;-1
2113;yes;married;2;secondary;unknown;2304;cellular;no;257;no;20;31;no;0;admin.;nov;-1
2115;no;married;2;primary;unknown;145;cellular;no;252;no;20;42;no;0;housemaid;aug;-1
2116;yes;single;1;primary;unknown;4897;unknown;no;151;no;20;33;no;0;management;may;-1
2117;no;married;4;primary;unknown;1832;cellular;no;213;no;6;40;no;0;housemaid;feb;-1
2118;no;married;12;primary;unknown;3726;cellular;no;119;no;27;51;yes;0;blue-collar;aug;-1
2119;no;married;2;tertiary;unknown;591;cellular;no;161;no;21;31;no;0;unemployed;nov;-1
2121;yes;single;3;secondary;other;508;telephone;no;12;no;18;24;no;1;student;may;374
2123;yes;divorced;2;secondary;failure;348;cellular;no;225;no;7;41;no;2;technician;may;275
2124;yes;married;2;tertiary;unknown;291;unknown;no;150;no;9;43;no;0;management;may;-1
2125;no;married;1;secondary;unknown;3554;cellular;no;89;no;8;52;yes;0;technician;jul;-1
2126;yes;married;2;primary;unknown;781;unknown;no;103;no;9;54;no;0;blue-collar;may;-1
2127;no;divorced;1;tertiary;unknown;267;cellular;no;128;no;26;32;no;0;technician;may;-1
2128;yes;married;1;primary;unknown;1327;cellular;no;277;no;20;38;no;0;blue-collar;nov;-1
2130;yes;single;2;primary;unknown;864;telephone;no;113;no;14;31;no;0;blue-collar;may;-1
2132;no;married;1;secondary;unknown;0;unknown;no;755;no;27;26;no;0;admin.;may;-1
2133;no;married;3;tertiary;unknown;214;cellular;no;161;no;29;52;no;0;technician;aug;-1
2134;yes;married;1;secondary;unknown;425;cellular;no;100;no;17;58;yes;0;retired;nov;-1
2135;no;married;2;tertiary;unknown;3;cellular;no;142;no;4;57;no;0;housemaid;aug;-1
2136;yes;married;2;tertiary;unknown;0;unknown;no;214;no;8;34;no;0;management;may;-1
2137;no;married;2;primary;unknown;0;cellular;no;167;no;18;59;no;0;blue-collar;nov;-1
2138;no;single;5;secondary;unknown;282;cellular;no;676;no;9;27;yes;0;technician;jul;-1
2139;no;married;1;tertiary;unknown;0;cellular;no;236;no;9;42;no;0;entrepreneur;jul;-1
2141;yes;married;12;secondary;unknown;0;cellular;no;83;no;28;33;yes;0;blue-collar;jul;-1
2142;yes;single;1;secondary;unknown;864;cellular;no;100;no;6;31;no;0;services;may;-1
2144;no;married;2;secondary;unknown;-478;cellular;no;528;no;8;29;yes;0;blue-collar;jul;-1
2145;no;married;2;primary;unknown;-363;unknown;no;340;no;12;38;no;0;unemployed;jun;-1
2146;no;married;3;secondary;unknown;8883;cellular;no;33;no;21;35;no;0;self-employed;nov;-1
2147;no;single;3;secondary;unknown;1970;telephone;no;284;no;17;31;no;0;technician;apr;-1
2149;yes;single;1;tertiary;unknown;1059;cellular;no;115;no;17;32;no;0;technician;apr;-1
2150;yes;married;2;secondary;unknown;388;unknown;no;730;no;5;31;no;0;services;may;-1
2151;yes;divorced;1;primary;failure;602;cellular;no;347;no;11;51;no;2;blue-collar;may;284
2152;no;single;1;secondary;unknown;0;cellular;no;58;no;17;29;no;0;services;jul;-1
2153;yes;married;1;primary;unknown;255;cellular;no;180;no;17;43;no;0;blue-collar;jul;-1
2154;yes;married;8;secondary;unknown;63;unknown;no;56;no;2;36;no;0;blue-collar;jun;-1
2155;yes;married;3;primary;unknown;712;unknown;no;326;no;2;34;no;0;self-employed;jun;-1
2156;yes;married;9;secondary;unknown;57;telephone;no;342;no;21;29;no;0;services;jul;-1
2157;no;married;6;secondary;unknown;523;cellular;no;49;no;2;57;yes;0;retired;feb;-1
2158;no;married;1;tertiary;unknown;422;cellular;no;110;no;12;43;no;0;management;aug;-1
2160;no;married;2;tertiary;unknown;3387;cellular;no;636;no;14;60;no;0;management;aug;-1
2161;no;married;2;primary;unknown;260;cellular;no;137;no;19;51;no;0;technician;aug;-1
2162;no;single;1;secondary;unknown;-1;cellular;no;173;no;7;40;no;0;admin.;jul;-1
2163;yes;married;2;secondary;unknown;1490;cellular;no;227;no;18;51;no;0;technician;jul;-1
2164;yes;married;5;secondary;unknown;497;unknown;no;88;no;19;38;yes;0;services;may;-1
2165;yes;married;3;secondary;unknown;1707;unknown;no;426;no;2;35;no;0;technician;jun;-1
2166;yes;married;3;secondary;other;826;telephone;no;195;no;18;47;no;8;technician;nov;112
2167;no;married;8;primary;unknown;907;cellular;no;230;no;18;45;no;0;blue-collar;aug;-1
2169;no;single;3;secondary;unknown;404;cellular;no;413;no;30;29;no;0;entrepreneur;jan;-1
2170;yes;divorced;2;tertiary;unknown;907;unknown;no;104;no;4;52;no;0;management;jun;-1
2171;yes;married;1;secondary;unknown;18;cellular;no;138;no;5;26;yes;0;technician;may;-1
2172;yes;single;2;primary;unknown;-495;unknown;no;334;no;29;31;no;0;blue-collar;may;-1
2173;yes;married;1;unknown;unknown;1210;unknown;no;868;no;30;55;no;0;services;may;-1
2174;yes;married;14;secondary;unknown;819;telephone;no;102;no;14;35;no;0;services;jul;-1
2175;no;divorced;3;tertiary;unknown;442;unknown;no;77;no;28;56;no;0;management;may;-1
2177;yes;single;2;secondary;unknown;671;unknown;no;332;no;7;27;no;0;student;may;-1
2178;no;married;2;secondary;unknown;371;cellular;no;124;no;7;30;no;0;technician;aug;-1
2179;no;married;9;tertiary;unknown;-3;cellular;no;91;no;25;51;no;0;technician;aug;-1
2180;yes;married;3;secondary;unknown;11;cellular;no;104;no;4;33;no;0;management;may;-1
2181;yes;single;1;secondary;failure;33;cellular;no;125;no;18;32;no;4;blue-collar;may;368
2183;no;married;1;primary;unknown;174;cellular;no;90;no;15;46;yes;0;blue-collar;jul;-1
2184;yes;married;1;tertiary;unknown;3107;cellular;no;310;no;25;32;yes;0;management;jul;-1
2185;yes;married;1;secondary;failure;1438;cellular;no;207;no;6;40;no;2;services;may;351
2186;no;married;1;secondary;unknown;1367;unknown;no;43;no;12;39;no;0;blue-collar;jun;-1
2187;no;married;4;primary;unknown;-11;telephone;no;126;no;16;51;no;0;blue-collar;jul;-1
2188;yes;single;1;secondary;success;1693;cellular;no;137;no;25;46;no;1;admin.;jan;97
2189;yes;married;5;primary;unknown;778;unknown;no;284;no;15;43;yes;0;blue-collar;may;-1
2190;no;married;6;tertiary;unknown;837;cellular;no;68;no;28;36;no;0;technician;aug;-1
2191;no;married;1;tertiary;unknown;363;cellular;no;67;no;18;48;no;0;management;nov;-1
2192;yes;single;2;secondary;unknown;236;cellular;no;8;no;18;26;yes;0;admin.;may;-1
2193;yes;single;1;unknown;unknown;0;cellular;no;62;no;11;39;no;0;admin.;may;-1
2194;no;married;1;tertiary;unknown;-50;cellular;no;175;no;7;47;yes;0;management;jul;-1
2196;yes;divorced;1;tertiary;failure;26306;cellular;no;27;no;11;54;no;3;management;feb;84
2197;yes;married;1;secondary;unknown;46;unknown;no;195;no;6;38;yes;0;admin.;may;-1
2198;no;married;2;secondary;unknown;575;cellular;no;254;no;4;33;yes;0;technician;feb;-1
2199;no;divorced;1;secondary;unknown;148;cellular;no;199;no;8;35;yes;0;admin.;jul;-1
2200;no;married;17;secondary;unknown;431;cellular;no;73;no;26;52;no;0;services;aug;-1
2201;yes;single;1;tertiary;unknown;777;unknown;no;351;no;14;25;no;0;technician;may;-1
2203;no;single;1;tertiary;unknown;3552;cellular;no;267;no;21;35;no;0;technician;nov;-1
2204;no;married;2;secondary;unknown;47;unknown;no;234;no;5;49;no;0;services;may;-1
2205;no;divorced;10;secondary;unknown;3823;cellular;no;234;no;26;41;no;0;admin.;apr;-1
2206;no;married;4;tertiary;unknown;138;cellular;no;94;no;20;32;no;0;management;aug;-1
2207;yes;single;2;secondary;unknown;1117;unknown;no;77;no;8;29;no;0;admin.;may;-1
2208;yes;married;1;secondary;unknown;1325;cellular;no;242;no;15;28;no;0;blue-collar;may;-1
2209;no;married;4;secondary;unknown;0;cellular;no;247;no;18;59;no;0;retired;jul;-1
2210;no;married;4;tertiary;unknown;4343;unknown;no;85;no;9;34;no;0;entrepreneur;jun;-1
2211;no;divorced;4;tertiary;unknown;1598;cellular;no;607;no;22;55;no;0;management;aug;-1
2214;yes;divorced;1;secondary;unknown;-280;unknown;no;258;no;26;42;no;0;technician;may;-1
2215;yes;single;1;unknown;other;1534;cellular;no;156;no;16;34;no;7;management;apr;147
2216;no;married;1;secondary;unknown;1671;unknown;no;160;no;21;34;no;0;admin.;may;-1
2217;no;married;1;tertiary;unknown;2007;unknown;no;1021;no;16;51;no;0;self-employed;jun;-1
2218;yes;married;25;primary;unknown;0;cellular;no;5;no;31;58;no;0;blue-collar;jul;-1
2221;no;married;1;tertiary;unknown;573;cellular;no;122;no;10;34;no;0;management;aug;-1
2222;yes;married;1;secondary;unknown;475;unknown;no;559;no;7;34;no;0;admin.;may;-1
2223;yes;divorced;1;secondary;unknown;47;unknown;no;141;no;8;42;yes;0;blue-collar;may;-1
2224;yes;single;4;tertiary;unknown;2154;cellular;no;87;no;21;46;no;0;management;jul;-1
2225;no;single;1;tertiary;unknown;96;cellular;no;577;no;5;31;no;0;self-employed;feb;-1
2226;yes;married;2;tertiary;unknown;83;cellular;no;193;no;11;39;no;0;entrepreneur;jul;-1
2227;no;single;5;tertiary;unknown;6766;cellular;no;210;no;28;34;no;0;management;aug;-1
2228;no;married;2;secondary;unknown;3973;cellular;no;732;no;6;47;no;0;technician;aug;-1
2229;yes;divorced;2;secondary;unknown;372;unknown;no;121;no;6;42;yes;0;services;may;-1
2230;no;single;2;secondary;unknown;-552;cellular;no;150;no;21;48;yes;0;blue-collar;nov;-1
2231;no;single;1;tertiary;unknown;48;cellular;no;140;no;21;30;no;0;self-employed;nov;-1
2232;yes;married;2;secondary;unknown;7696;cellular;no;386;no;20;38;no;0;technician;nov;-1
2234;yes;married;1;secondary;unknown;1;cellular;no;108;no;19;34;no;0;technician;nov;-1
2235;no;single;1;tertiary;failure;46;cellular;no;80;no;17;46;yes;1;management;nov;152
2236;yes;divorced;3;secondary;unknown;-18;unknown;no;155;yes;12;32;no;0;admin.;may;-1
2237;yes;married;4;secondary;unknown;451;cellular;no;389;no;13;46;yes;0;services;may;-1
2238;yes;married;3;tertiary;unknown;479;cellular;no;133;no;9;26;no;0;self-employed;feb;-1
2239;yes;married;6;secondary;unknown;0;cellular;no;328;no;21;42;no;0;blue-collar;nov;-1
2240;yes;married;2;secondary;unknown;1130;cellular;no;119;no;23;50;no;0;technician;jul;-1
2241;yes;married;6;primary;unknown;389;unknown;no;87;no;16;41;no;0;blue-collar;jun;-1
2242;no;single;1;secondary;failure;10;cellular;no;162;no;18;34;yes;3;admin.;nov;173
2243;yes;married;2;secondary;unknown;401;unknown;no;294;no;15;32;no;0;services;may;-1
2244;yes;single;2;tertiary;unknown;145;cellular;no;128;no;16;58;yes;0;housemaid;jul;-1
2245;yes;married;1;secondary;unknown;115;cellular;no;108;no;6;45;no;0;technician;may;-1
2246;yes;single;2;secondary;unknown;89;cellular;no;172;no;6;28;yes;0;admin.;feb;-1
2247;yes;married;5;secondary;unknown;94;unknown;no;208;no;14;35;yes;0;technician;may;-1
2248;yes;married;2;secondary;unknown;1438;unknown;no;212;no;20;39;no;0;services;may;-1
2249;no;divorced;1;tertiary;failure;780;cellular;no;148;no;8;49;no;2;unemployed;nov;871
2250;yes;married;1;tertiary;unknown;207;cellular;no;99;no;4;50;no;0;management;feb;-1
2252;no;married;2;primary;unknown;2433;cellular;no;133;no;6;45;no;0;blue-collar;aug;-1
2253;no;single;1;secondary;unknown;1924;cellular;no;170;no;6;30;no;0;housemaid;feb;-1
2254;yes;married;7;tertiary;unknown;-471;unknown;no;668;no;19;48;no;0;unemployed;may;-1
2255;yes;single;3;tertiary;failure;1531;cellular;no;81;no;8;36;no;1;management;may;170
2256;no;single;2;secondary;unknown;764;cellular;no;230;no;12;41;no;0;management;jun;-1
2257;no;married;1;secondary;unknown;383;unknown;no;287;no;5;55;no;0;blue-collar;may;-1
2258;no;married;1;primary;unknown;3782;cellular;no;618;no;16;70;no;0;retired;mar;-1
2260;no;divorced;6;secondary;unknown;691;cellular;no;285;no;6;47;no;0;services;feb;-1
2261;no;single;2;secondary;unknown;0;cellular;no;163;no;21;34;no;0;technician;aug;-1
2262;no;single;1;tertiary;unknown;99;cellular;no;159;no;8;33;no;0;management;jul;-1
2263;yes;married;2;secondary;failure;502;cellular;no;197;no;12;58;no;3;retired;may;370
2264;no;married;2;tertiary;unknown;-15;cellular;no;212;no;25;51;no;0;management;jul;-1
2265;yes;married;15;tertiary;unknown;1929;unknown;no;44;no;29;45;no;0;management;may;-1
2266;no;married;2;secondary;success;0;cellular;no;180;no;23;55;no;3;admin.;sep;238
2267;no;single;1;primary;unknown;185;unknown;no;11;no;26;30;no;0;blue-collar;jun;-1
2268;yes;single;1;secondary;unknown;-424;unknown;no;863;no;26;33;no;0;management;may;-1
2269;yes;single;7;secondary;unknown;0;unknown;no;388;no;7;27;no;0;services;may;-1
2270;yes;married;3;secondary;unknown;319;unknown;no;143;no;5;59;no;0;retired;may;-1
2271;yes;single;1;tertiary;failure;171;cellular;no;191;no;7;34;no;1;management;may;294
2272;yes;divorced;2;tertiary;unknown;-1148;unknown;no;62;no;27;47;yes;0;technician;may;-1
2273;yes;married;1;primary;unknown;-11;unknown;no;13;no;9;44;no;0;blue-collar;may;-1
2275;yes;married;2;tertiary;unknown;-206;cellular;no;337;no;6;45;no;0;management;may;-1
2276;yes;married;10;primary;unknown;704;telephone;no;88;no;31;42;yes;0;blue-collar;jul;-1
2277;no;married;1;secondary;other;1931;cellular;no;167;no;2;38;no;10;technician;jun;298
2278;no;single;4;secondary;unknown;943;cellular;no;96;no;29;34;no;0;technician;aug;-1
2279;yes;married;3;secondary;unknown;327;cellular;no;537;no;13;35;no;0;technician;apr;-1
2280;yes;single;3;secondary;unknown;-105;unknown;no;5;no;27;29;no;0;management;may;-1
2281;no;married;1;secondary;unknown;983;cellular;no;139;no;5;58;no;0;retired;aug;-1
2282;yes;single;2;primary;unknown;787;unknown;no;570;no;30;44;no;0;blue-collar;may;-1
2283;yes;married;3;tertiary;unknown;0;cellular;no;100;no;29;45;no;0;entrepreneur;jul;-1
2284;yes;married;2;secondary;unknown;3060;unknown;no;253;no;15;43;no;0;blue-collar;may;-1
2285;yes;married;2;secondary;unknown;5780;cellular;no;525;no;1;44;no;0;services;apr;-1
2286;no;single;3;secondary;unknown;790;cellular;no;696;no;20;30;no;0;technician;aug;-1
2287;no;married;6;tertiary;unknown;1449;unknown;no;535;no;26;38;no;0;unemployed;may;-1
2288;no;married;3;secondary;unknown;1412;cellular;no;131;no;6;50;no;0;technician;aug;-1
2289;no;single;1;secondary;unknown;681;unknown;no;6;no;20;21;no;0;student;aug;-1
2290;yes;married;1;tertiary;unknown;228;cellular;no;105;no;5;38;no;0;entrepreneur;feb;-1
2291;no;married;1;secondary;unknown;0;unknown;no;370;no;19;42;no;0;admin.;jun;-1
2292;no;single;14;tertiary;unknown;2087;cellular;no;29;no;29;45;no;0;technician;aug;-1
2293;yes;married;1;secondary;failure;2;cellular;no;184;no;5;34;yes;6;entrepreneur;may;167
2294;no;married;2;secondary;other;197;cellular;no;47;no;3;48;yes;3;technician;feb;222
2295;no;married;4;secondary;unknown;0;unknown;no;193;no;2;34;yes;0;services;jul;-1
2297;no;married;2;tertiary;unknown;118;cellular;no;358;no;6;35;no;0;technician;aug;-1
2298;yes;married;1;tertiary;unknown;2644;unknown;no;253;no;20;39;no;0;entrepreneur;may;-1
2299;yes;married;3;tertiary;unknown;16430;unknown;no;197;no;6;36;no;0;self-employed;jun;-1
2300;no;married;2;secondary;unknown;13;cellular;no;94;no;22;35;no;0;technician;aug;-1
2301;no;divorced;2;secondary;unknown;14;cellular;no;445;no;22;57;yes;0;services;jul;-1
2302;yes;single;1;secondary;failure;769;cellular;no;153;no;15;28;no;2;technician;may;371
2303;no;married;1;unknown;unknown;3485;unknown;no;113;no;18;43;no;0;admin.;jun;-1
2304;no;married;1;secondary;unknown;139;cellular;no;80;no;17;57;no;0;management;aug;-1
